"Pop_Code","standard","actual","fruit.inf.Length","aborted.inf.length","flower.inf.length","bud.inf.Length","Location","Date","Latitude","Longitude","yday","Year"
"CHRB0001057-2","1144.175",10,0,0,615.546,218.55,"39.92678 -75.13045","1866-07-29",39.92678,-75.13045,210,1866
"CHRB0001057","1144.175",10,633.057,0,501.891,396.095,"39.92678 -75.13045","1870-09-09",39.92678,-75.13045,252,1870
"MU-V-000195927","1164.557",10,661.037,0,382.649,220.465,"Conway, New Hampshire","1875-08-15",43.981703,-71.12704,227,1875
"3009004","478.009",10,302.563,0,217.387,187.712,"41.17959 -73.895939 Croton Point NY","1875-08-13",41.17959,-73.895939,225,1875
"365690","1888.004",10,1380.026,0,1017.366,904.728,"Ashland Mass","1876-07-22",42.27269,-71.447461,204,1876
"1189114","1170",10,2838.228,0,234.195,0,"Ashland Mass. ","1877-08-17",42.260534,-71.471301,229,1877
"UVMVT126342","1224.004",10,0,0,1507.128,360.838,"Mass: Cambridge: Botanical Garden","1877-07-13",42.37651,-71.11736,194,1877
"MISSA016731","1028.018",10,604.916,0,686.528,222.788,"","1877-08-16",43.455346,-76.510497,228,1877
"3008995","478.004",10,859.43,0,13.906,54.12,"Flushing, Long Island =, New York","1878-08-30",40.768414,-73.839414,242,1878
"365685","1896.002",10,5408.116,0,0,0,"Ashland Mass","1878-08-21",42.27269,-71.447461,233,1878
"919016018","614.72",5,155.05,0,402.58,0,NA,NA,42.34,-71.05,224,1878
"NYBG-00366287","1218.137",10,0,0,1080.281,381.228,"Penn: Philadelphia: Girard Pt","1878-07-04",39.892889,-75.19621,185,1878
"NYBG-00365720","1224.338",10,2341.091,0,0,0,"NY: Queens: Flushing: Kissena Park","1878-08-31",40.747346,-73.806791,243,1878
"NYBG-00365792","1220.007",10,2469.41,0,872.201,160.798,"NY: Queens: Flushing: Long Island","1878-08-31",40.879915,-73.229921,243,1878
"NYBG-00365793","1224.287",10,0,0,979.344,470.498,"NY: Queens: Flushing: Long Island","1878-08-30",40.879915,-73.229921,242,1878
"NYBG-00366252","1224.007",10,0,0,1445.388,250.578,"NY: Bronx County: Williamsbridge","1878-07-22",40.850536,-73.873904,203,1878
"NYBG-00365786","1216.728",10,388.988,0,458.109,432.903,"New Jersey: Bergen: Ridgefield","1879-07-27",40.83827,-74.017284,208,1879
"NYBG-00366286","1224.238",10,3488.821,0,0,0,"Penn: Philadelphia","1879-08-10",39.931369,-75.208681,222,1879
"919031183","610.12",5,2016.09,0,247.09,497.06,NA,NA,42.36,-71.06,194,1880
"919016192","616.01",5,0,0,252.25,290.96,NA,NA,42.38,-71.06,204,1881
"NYBG-00365741","1224",10,825.839,0,1409.5,0,"NY: Bronx County: Pelham Manor","1881-07-01",40.894519,-73.802024,182,1881
"919011611","614.05",5,1487.45,0,671.84,0,NA,NA,42.73,-70.99,203,1882
"919023210","612.05",5,519.536,2139.764,555.401,178.572,NA,NA,42.64,-71.38,222,1882
"NYBG-00365739","1220.392",10,1186.434,0,717.112,260.343,"NY: Westchester: edge of salt marsh in Milton","1882-07-08",41.648844,-73.957182,189,1882
"NYBG-00365722","1216.938",10,0,0,627.71,505.932,"NY: Queens: Flushing: Kissena Park","1882-09-16",40.747346,-73.806791,259,1882
"NYBG-00365745","1220",10,1311.23,0,807.34,133.418,"NY: Queens: Flushing: Kissena Park","1882-09-16",40.747346,-73.806791,259,1882
"NYBG-00365771","1220.243",10,1046.388,0,933.291,395.601,"NY: Bronx County: Bronx, New York Botanical Garden","1882-07-16",40.862489,-73.881048,197,1882
"3009077","479.004",10,0,0,267.438,152.69,"Easton, Conneticut","1883-06-20",41.271227,-73.295744,171,1883
"919009190","612.05",5,872.15,0,668.04,401.31,NA,NA,44.05368,-71.128404,199,1883
"OSU_61842","1230",10,0,0,1560.216,0,"Ile Bouchard, Quebec","1884-08-14",45.798548,-73.355309,227,1884
"3009079","480.004",10,0,0,759.406,464.27,"Ashland Mass","1884-07-02",42.257505,-71.453827,184,1884
"919016573","614.7",5,0,0,1393.13,1227.58,NA,NA,42.26,-71.46,185,1884
"NYBG-00365692","1216.333",10,904.232,0,829.393,0,"New Jersey: Mercer: Trenton","1884-07-23",40.214459,-74.768715,205,1884
"NYBG-02058500","1220.023",10,1483.832,0,986.23,798.991,"New Jersey: Granton","1884-07-23",40.798705,-74.033178,205,1884
"366280","1893",10,0,0,1583.173,1337.803,"Rondout, NY","1885-08-01",41.919371,-73.986168,213,1885
"NYBG-00366309","1228.838",10,0,0,1345.11,876.002,"Vermont: Rutland: Clarendon","1885-07-06",43.534809,-72.960471,187,1885
"1189125","1168.007",10,1447.143,0,1807.283,896.743,"West Amhert, Massachusetts","1885-07-12",42.38648,-72.532091,193,1885
"919028560","612.05",5,432.56,0,1067.87,230.06,NA,NA,42.26,-71.46,209,1886
"NYBG-00365785","1216.278",10,0,0,2233.312,1135.487,"NY: Ulster: Marlborough","1888-07-28",41.644704,-73.954927,210,1888
"NYBG-00365718","1216.398",10,1138.111,0,1590.92,508.111,"Ny: Jefferson: Thousand Islands","1889-07-15",44.327835,-75.928063,196,1889
"NYBG-00365721","1216.448",10,681.221,0,1032.203,575.353,"NY: Organce County: Cornwall-on-Hudson","1889-07-09",41.436162,-74.018285,190,1889
"1189113","1169.002",10,157.305,0,664.66,285.523,"Byron, Ontario","1890-08-15",42.953265,-81.333464,227,1890
"ILL00121772","881.009",10,0,0,1540.936,779.224,"Massachusetts, Middlesex Co., Bedford","1890-07-17",42.49112,-71.275587,198,1890
"919031117","616.08",5,2985.82,0,1500.04,782.23,NA,NA,42.49,-71.28,198,1890
"CONN00072883","2352.122",10,0,0,351.204,763.623,"Mass: Suffolk County: Hyde Park","1890-07-23",42.233333,-71.116667,204,1890
"CONN00003865","2349.872",10,0,0,890.627,830.171,"New Jersey: Camden County: Camden","1891-07-03",39.935833,-75.108333,184,1891
"NYBG-00365728","1224.119",10,855.389,0,835.219,254.429,"NY: Orange: Wes Point","1891-07-20",41.387585,-73.962965,201,1891
"NYBG-00365790","1218.38",10,0,0,1502.119,172.378,"New Jersey: Passaic: Clifton","1891-08-16",40.871342,-74.166355,228,1891
"1189107","1168.002",10,2503.135,0,1069.673,304.41,"Vicinity of Clifton, Passaic Co., New Jersey","1892-07-06",40.874718,-74.165186,188,1892
"MU-V-000195925","1164.687",10,1184.077,0,1138.915,703.105,"Passaic Co., Jew Jersey, Clifton","1892-07-06",40.874084,-74.160859,188,1892
"919011390","614.03",5,854.58,0,1491.7,727.55,NA,NA,43.7,-72.29,202,1892
"931038840","432",5,0,0,707.91,248.08,NA,NA,43.36,-80.31,227,1892
"NYBG-00365724","1212.338",10,0,0,980.399,761.231,"Washington DC","1892-07-04",38.883892,-77.039993,186,1892
"MICH-V-1355526","1169.109",10,0,0,994.5,542.899,"Michigan, Port Huron","1893-08-06",42.978676,-82.421464,218,1893
"MICH-V-135527","1170.084",10,638.123,0,445.615,752.827,"Michigan, Port Huron","1893-08-06",42.978676,-82.421464,218,1893
"3008936","478.017",10,298.285,0,391.011,167.668,"Spring Creek, Mumford NY","1893-07-12",42.991432,-77.865435,193,1893
"919025138","612.08",5,738.41,0,0,0,NA,NA,42.48,-71.15,225,1893
"931032380","432",5,360,0,778.32,601.74,NA,NA,43.36,-80.31,185,1893
"MICH-V-1355527","1169.084",10,491.528,0,582.502,747.128,"Port Huron outskirts, Michigan","1893-08-06",42.993946,-82.427508,218,1893
"OS0015823","1227.059",10,480.667,0,677.112,963.766,"Durham, New York","1894-08-24",42.399792,-74.172669,236,1894
"OS0016035","1228.08",10,2211.107,0,743.673,1021.966,"Durham, New York","1894-08-24",42.401981,-74.175495,236,1894
"MT00043418","1233.015",10,0,0,679.11,620.967,"45.52 -73.62","1894-07-10",45.52,-73.62,191,1894
"3009073","477.009",10,908.761,0,261.91,343.96,"New Jersey, New Durham","1894-08-24",40.7901,-74.0363,236,1894
"3009074","447.004",10,188.056,0,139.568,274.118,"New Jersey, New Durham","1894-08-24",40.7901,-74.0363,236,1894
"919020930","612.05",5,712.56,1819.842,671.75,0,NA,NA,42.16,-71.14,241,1894
"919022928","614.03",5,0,0,1496.86,493.38,NA,NA,42.16,-71.14,189,1894
"919026438","614.74",5,778.42,0,0,0,NA,NA,42.37,-71.11,279,1894
"TENN-V-0155182","1328.281",10,525.37,0,519.017,228.98,"Michigan: Saint Clair: Port Huron","1894-07-10",42.989283,-82.425754,191,1894
"NYBG-00365683","1220.044",10,1781.287,0,766.232,475.373,"New Jersey: Middlesex: New Durham","1894-08-24",40.785473,-74.039026,236,1894
"ILL00121763","1163.028",10,894.22,0,661.559,501.223,"Hartford Co., Connecticut, Southington, river bank (Quinnipiac River)","1895-07-20",41.598676,-72.88533,201,1895
"919020881","616.05",5,1921.54,0,0,0,NA,NA,42.31,-71.12,258,1895
"CONN00003866","2355.002",10,5584.213,0,678.957,0,"Newburgh, NY","1895-09-08",41.503333,-74.010556,251,1895
"NYBG-00365783","1216.289",10,0,0,744.298,629.901,"NY: Westchester: North Tarrytown","1895-07-11",41.067925,-73.867351,192,1895
"NYBG-00365784","1218.83",10,0,0,1906.238,790.109,"NY: Dutchess: Fishkill Plains","1895-07-25",41.602792,-73.834017,206,1895
"MSC0147220","1176.383",10,1217.204,0,418.234,144.247,"Bay Co., Michigan, Bay City","1896-08-02",43.603948,-83.888669,215,1896
"ILL00121775","1164.035",10,530.356,0,1064.37,300.015,"West Roxbury, Meadow, Massachusetts","1896-07-24",42.287018,-71.148413,206,1896
"v0305294WIS","896.009",10,1292.063,0,675.109,105.802,"41.62448 -87.39421","1896-06-27",41.62448,-87.39421,179,1896
"v0305280WIS","897.009",10,616.141,0,1488.076,0,"40.40631 -74.97616","1896-09-11",40.40631,-74.97616,255,1896
"918950499","154.01",5,0,0,374.83,189.68,NA,NA,45.17,-74.97,226,1896
"CONN00003833","2364.003",10,4468.698,0,1466.021,396.807,"Conn: Litchfield County: Woodbury","1896-08-10",41.561944,-73.21,223,1896
"CCNL-06614","1404.029",10,897.928,0,613.278,290.071,"Conn: Middlesex","1896-08-15",41.4798,-72.39435,228,1896
"NYBG-00365759","1224.232",10,620.003,0,505.023,372.188,"Penn: Northmpton: Easton","1896-08-17",40.691085,-75.206406,230,1896
"ILL00121774","1164.021",10,1123.158,0,899.212,343.628,"Massachusetts, West Roxbury","1896-07-24",42.301746,-74.559249,206,1896
"MICH-V-1433778","1170.027",10,1184.554,0,629.676,482.411,"West Somers, Putnam Co., NY","1896-07-31",41.312374,-73.771326,213,1896
"v0305271WIS","896.009",10,680.327,0,649.699,372.99,"40.40628 -74.97646","1897-08-14",40.40628,-74.97646,226,1897
"918950453","155",5,0,0,253.23,66.46,NA,NA,49.282729,-123.120738,211,1897
"919029603","612.05",5,2628.39,0,1280.41,224.02,NA,NA,42.28,-71.42,233,1897
"1189108","1170.002",10,2794.17,0,0,0,"Saugatuck, Michigan","1898-07-27",42.659633,-86.207706,208,1898
"1189112","1170.015",10,1903.797,0,0,0,"Saugatuck, Michigan","1898-07-27",42.659633,-86.207706,208,1898
"1189141","170.002",10,1430.93,0,0,0,"3mi N of Fort Lell, M.Y. opposite the upper end of New York Island","1898-08-28",40.909386,-73.93882,240,1898
"0070110MOR","1208.026",10,582.961,0,156.589,133.462,"Michigan, Allegan, Saugatuck","1898-07-27",42.657918,-86.196335,208,1898
"ILL00121776","1165.027",10,527.156,0,410.824,0,"Michagan, Saugatuck, marsh","1898-07-27",42.661201,-86.207656,208,1898
"MICH-V-1355532","1166.084",10,1208.483,0,665.939,174.184,"Allegan Co., Michigan, Saugatuck, marsh","1898-07-27",42.652425,-86.189659,208,1898
"v0305291WIS","896.014",10,1474.972,0,511.858,164.779,"42.65578 -86.20542","1898-07-27",42.65578,-86.20542,208,1898
"3008929","479.009",10,358.883,0,0,0,"Saugatuck, Michigan","1898-07-27",42.660885,-86.207913,208,1898
"919015637","614.05",5,0,0,2932.96,732.1,NA,NA,41.79,-72.8,189,1898
"919030841","616.03",5,0,0,1379.42,793.76,NA,NA,43.55,-72.97,186,1898
"CONN0003822","2358.008",10,1958.278,0,2450.22,1113.233,"","1898-07-08",41.605,-72.879722,189,1898
"CONN00056071","2356.003",10,1673.193,0,1272.89,832.25,"Conn: Hartford County: Southington","1898-07-11",41.605,-72.879733,192,1898
"UVMVT084355","1228.004",10,0,0,992.837,684.514,"Vermont: Clarendon","1898-07-05",43.534809,-72.960471,186,1898
"NYBG-00366306","1224.228",10,1731.001,0,489.8,0,"NY: Bronx County: Bronx, New York Botanical Garden","1898-07-21",40.862489,-73.881048,202,1898
"919020479","616.05",5,693.68,0,579.81,226.71,NA,NA,42.47,-71.29,227,1899
"919029775","612.07",5,0,0,1226.4,584.99,NA,NA,41.28,-73.03,192,1899
"PBRU00017491","1210.456",10,0,0,1685.998,362.851,"Rhode Island: Washington County: College grounds, RI College of Agricultural and Mechanical Arts","1899-11-30",41.487544,-71.528629,334,1899
"UVMVT126343","1228.007",10,3999.138,0,0,0,"Mass: Nantucket: Long Pond","1899-08-26",41.31079,-70.11468,238,1899
"UVMVT126346","1222.399",10,4052.399,0,0,0,"Mass: Nantucket: Nantucket Island","1899-08-26",41.31079,-70.11468,238,1899
"v0305261WIS","896.005",10,771.237,0,0,0,"39.96650 -75.26046","1900-09-16",39.9665,-75.26046,259,1900
"931038857","432",5,0,0,1173.52,132.31,NA,NA,43.25,-79.87,181,1900
"KIRI-06101","1418.09",10,0,0,1871.112,801.827,"Rhode Island: Rhode Island College of Arg & Mech Arts, on campu","1900-07-18",41.487544,-71.528629,199,1900
"UVMVT084362","1224.288",10,1264.974,0,427.213,0,"Vermont: Clarendon; bank of Otter Creek","1900-08-18",43.572398,-72.988815,230,1900
"NYBG-00365758","1224.222",10,1153.298,0,1544.121,427.459,"Conn: Windham: Danielson","1900-07-21",41.809397,-71.888471,202,1900
"ILL00121771","1163.015",10,797.065,0,436.807,484.823,"Middlesex Co., Massachusetts, Boston Back Bay, salt marsh","1901-07-14",42.35591,-71.076826,195,1901
"v0305273WIS","897.009",10,391.847,0,1038.115,444.969,"42.35010 -71.08700","1901-07-14",42.3501,-71.087,195,1901
"919018507","614.7",5,0,0,1676.18,565.44,NA,NA,43.64,-72.99,212,1901
"919030098","616.08",5,239.71,0,210.79,1000.94,NA,NA,43.8,-70.26,220,1901
"OS23770","1274.19",10,2017.639,0,167.141,57.201,"41.64028 -81.28167, Little Mountains, Lake Co., Ohio","1902-08-24",41.64028,-81.28167,236,1902
"ILL00121901","1166.027",10,2297.335,0,1094.843,214.663,"Claredon, Rutland CO., Vermont","1902-07-30",43.54264,-72.956963,211,1902
"MICH-V-1433759","1168.027",10,1211.731,0,1582.144,513.48,"Ithaca New York","1902-07-18",42.439649,-76.514304,199,1902
"919011711","614.03",5,0,0,2896.58,1051.73,NA,NA,43.55,-72.97,211,1902
"919013379","613.37",5,1732.46,0,499.24,0,NA,NA,42.31,-73.18,238,1902
"919021637","614.72",5,239.55,0,1128.59,0,NA,NA,44.1,-70.21,280,1902
"919025844","612.08",5,1950.34,0,2822.36,918.65,NA,NA,43.55,-72.97,211,1902
"919025865","614.16",5,0,0,2390.45,1454.13,NA,NA,43.55,-72.97,211,1902
"CONN00061002","2368.014",10,709.039,0,1984.462,488.016,"","1902-08-07",44.10667,-70.208056,219,1902
"UVMVT084370","1230.033",10,0,0,2037.282,888.708,"Vermont: Clarendon","1902-07-30",43.534809,-72.960471,211,1902
"UVMVT084357","1228",10,940.828,0,1642.203,660,"Vermont: Clarendon","1902-07-30",43.534809,-72.960471,211,1902
"NYBG-00365726","1216.311",10,853.001,0,2420.122,828.449,"Vermont: Rutland: Clarendon","1902-07-30",43.533813,-72.978324,211,1902
"ILL00121801","1165.035",10,1696.464,0,1846.413,0,"Claredon, West Vermont","1902-07-30",43.546296,-72.963531,211,1902
"ILL00121800","1164.043",10,1555.978,0,1244.014,831.201,"Claredon, West Vermont","1902-07-30",43.546296,-72.963531,211,1902
"MU-V-000195899","1166.439",10,552.521,0,1684.408,959.834,"Claredon, West Vermont","1902-07-30",43.546296,-72.963531,211,1902
"IND-0075898","1500.108",10,436.715,0,1593.284,265.084,"Hunterdon CO., New Jersey, Lambertville, edge of canal","1903-08-24",40.372616,-74.949267,236,1903
"919020798","612.03",5,0,0,453.18,978.71,NA,NA,42.35,-71.05,207,1903
"NYBG-00365699","1216",10,0,0,1384.288,653.188,"NY: Tompkins: Cayuga Lake, swamp at head","1903-07-21",42.688882,-76.733873,202,1903
"NYBG-00365775","1220.77",10,1470.287,0,0,0,"NY: Head of Cayuga Lake","1903-07-21",42.914584,-76.751726,202,1903
"NYBG-00366253","1218.374",10,1208.121,0,1108.888,278.481,"New Jersey: Hunterdon: Lambertville","1903-08-24",40.372083,-74.948607,236,1903
"919011906","614.05",5,3810.96,0,0,0,NA,NA,42.46,-71.67,224,1904
"CONN00003827","2344.003",10,864.713,0,1552.41,1159.403,"Conn: Litchfield County: Salisbury","1904-09-27",41.983333,-73.421111,271,1904
"NYBG-00366255","1216.231",10,3074.554,0,0,0,"New Jersey: Middlesex: New Durham","1904-10-03",40.785473,-74.039026,277,1904
"MU-V-000195922","1160.689",10,1004.614,0,0,0,"Mississippi Co., Missouri, along Co. Rd. 203, 2.2mi NE of junction with Co. Rd J. ","1905-06-20",36.989785,-89.254074,171,1905
"MT00043420","1236.006",10,0,0,1164.707,651.575,"45.540892 -73.512834","1905-06-30",45.540892,-73.512834,181,1905
"NYBG-00366304","1228.099",10,0,0,1173.698,235.592,"NY: Bronx County: Bronx, New York Botanical Garden","1905-09-11",40.862489,-73.881048,254,1905
"1189129","1170.002",10,839.391,0,266.759,232.926,"Delaware, Ontario, Canada","1906-08-06",42.90836,-81.420535,218,1906
"MICH-V-1433767","1166.043",10,0,0,925.085,655.04,"Norfolk CO., Massachusetts, Ponkapoag (now Canton)","1906-07-20",42.154022,-71.148665,201,1906
"IND_0075903","1497.075",10,1835.52,0,0,0,"Middlesex Co., Ontario., Delaware","1906-08-06",42.909342,-81.422938,218,1906
"IND-0075902","1500.048",10,1152.507,0,1689.474,1170.323,"Northampton Co., Pennsylvania, Martins Creek","1906-08-20",40.78322,-75.184195,232,1906
"CONN00003818","2348.008",10,1809.687,0,880.979,503.75,"Conn: Hartford County: Keney Park","1906-12-31",41.802222,-72.666111,365,1906
"NYBG-00366258","1218.238",10,810.002,0,423.223,198.731,"NY: Nassau: Long Beach","1906-07-08",40.592009,-73.633017,189,1906
"NYBG-00366302","1216.287",10,0,0,1144.873,761.269,"NY: Bronx County: Bronx, New York Botanical Garden","1906-07-16",40.862489,-73.881048,197,1906
"NYBG-00366303","1584.001",10,2629.379,0,2185.444,0,"NY: Bronx County: Bronx, New York Botanical Garden","1906-10-08",40.862489,-73.881048,281,1906
"BRU00017493","161.003",10,0,0,108.709,52.479,"N. Kingston Rhode Island","1907-07-25",41.5633372,-71.444757,206,1907
"919011095","614.05",5,1216.57,0,537.84,124.26,NA,NA,42.84,-71.65,243,1907
"919015561","618.03",5,138.52,0,356.85,0,NA,NA,42.83,-71.65,243,1907
"919017163","616.03",5,0,0,1904.2,0,NA,NA,43.64,-72.99,211,1907
"919021194","612.05",5,1484.5,0,587.01,0,NA,NA,43.92,-69.7,227,1907
"NHA-706849","1608.045",10,496.362,0,816.908,427.09,"New Hampshire: Hillsborough: East Milford","1907-08-31",42.81783,-71.67361,243,1907
"PBRU00017493","1209.033",10,0,0,1028.338,374.443,"Rhode Island: Washington County","1907-07-25",41.57072,-71.46004,206,1907
"NYBG-00365748","1220.002",10,2490.282,0,0,0,"Mass: Norfolk: Wellesley College","1907-10-15",42.294565,-71.305155,288,1907
"NYBG-00365780","1220.003",10,0,0,1453.289,552.211,"Quebec: Lake Memphremagog","1907-07-21",44.957078,-72.231424,202,1907
"NYBG-00365694","1228.002",10,332.008,0,0,0,"Ontario: Leeds County: Rideau Ferry","1907-09-04",44.851264,-76.144045,247,1907
"MSC0238506","771.016",10,610.643,0,352.64,413.986,"Belmont, Middlesex Co., Massachusetts","1908-07-23",42.399081,-71.179082,205,1908
"ILL00121769","881.02",10,1302.455,0,223.321,581.001,"Middlesex Co., Massachusetts, Belmont","1908-07-23",42.397495,-71.17779,205,1908
"v0305270WIS","892.009",10,1673.591,0,1091.354,436.877,"42.39593 -71.17867","1908-07-23",42.39593,-71.17867,205,1908
"v0305263WIS","897.014",10,0,0,406.828,745.918,"42.29034 -71.30591","1908-07-08",42.29034,-71.30591,190,1908
"3009084","478.009",10,415.52,0,142.39,249.23,"Belmont, Middlesex Co., Massachusetts","1908-07-23",42.39514,-71.167208,205,1908
"BUT0005935","902.948",10,3423.547,0,0,0,"Middlesex County, Belmont, Massachusetts","1908-07-23",42.3949,-71.1683,205,1908
"919010997","612.01",5,997.4,0,701,577.08,NA,NA,42.4,-71.18,205,1908
"919016387","614.03",5,1957.45,0,0,0,NA,NA,42.35,-71.05,211,1908
"919017858","614.03",5,2775.63,0,0,0,NA,NA,42.18,-71.14,271,1908
"919028200","612.05",5,258.79,0,511.32,0,NA,NA,42.58,-71.44,244,1908
"919029819","614.08",5,5967.92,0,0,0,NA,NA,42.37,-71.11,277,1908
"UVMVT084356","1223.827",10,0,0,1071.283,613.034,"Vermont: Rutland City","1908-07-06",43.534809,-72.960471,188,1908
"NYBG-00365753","1216.122",10,0,0,1395.555,1183.44,"Mass: Norfolk: Wellesley College","1908-07-08",42.294565,-71.305155,190,1908
"NYBG-00366305","1224.447",10,0,0,861.111,732.409,"NY: Bronx County: Bronx, New York Botanical Garden","1908-06-30",40.862489,-73.881048,182,1908
"IND-0075899","1496.086",10,2049.553,0,383.572,254.849,"Phillipsburg, New Jersey, bank of Delaware River","1909-08-15",40.684164,-75.197037,227,1909
"919022238","612.08",5,0,0,918.1,618.63,NA,NA,43.74,-70.55,219,1909
"919028829","612.08",5,0,0,2184.26,443.4,NA,NA,44.21,-71.8,204,1909
"919030168","612.12",5,963.21,0,1598.5,743.65,NA,NA,45.05,-69.69,221,1909
"NYBG-00365765","1220.009",10,886.445,0,271.118,100.319,"NY: Greene: Catskill","1909-07-14",42.224503,-73.888055,195,1909
"NYBG-00366322","1220.009",10,2834.109,0,0,0,"New Jersey: Middlesex: New Durham","1909-10-03",40.785473,-74.039026,276,1909
"NYBG-00366324","1216.238",10,687.81,0,464.029,461.198,"New Jersey: Warren: Phillipsburg","1909-08-15",40.685288,-75.199232,227,1909
"NYBG-00366325","1224.237",10,514.122,0,504.713,0,"New Jersey: Warren: Phillipsburg","1909-08-29",40.685288,-75.199232,241,1909
"v0305289WIS","897.005",10,0,0,1395.308,840.796,"41.27959 -70.10255","1910-07-20",41.27959,-70.10255,201,1910
"OSU_7313","1233",10,1539.629,236.917,1592.377,336.095,"Hanover, N. Hamp.","1910-08-08",43.704465,-72.296889,220,1910
"365688","1896.002",10,759.113,0,440.699,607.751,"Montmorency Falls, Quebec","1910-08-06",46.890968,-71.147882,218,1910
"MT00043423","1227.004",10,0,0,640.692,346.128,"46.88 -71.15","1910-08-05",46.88,-71.15,217,1910
"919015512","614.05",5,3690.38,0,1218.99,407.23,NA,NA,41.26,-73.37,201,1910
"919021802","614.12",5,0,0,636.38,0,NA,NA,42.26,-71.8,224,1910
"919027894","614.08",5,844.01,0,1631.89,544.62,NA,NA,41.12,-73.41,201,1910
"919028048","614.7",5,1624.44,0,0,0,NA,NA,42.36,-71.06,232,1910
"CONN00003804","2356.003",10,7281.572,0,1788.402,1654.806,"","1910-07-20",41.093889,-73.420278,201,1910
"CONN00003870","2364.017",10,2108.925,0,945.798,471.101,"Canada: Quebec: La Cote-de-beaupre: Montmorency Falls","1910-08-05",46.890556,-71.145278,217,1910
"UVMVT084359","1224.012",10,0,0,1416.608,772.399,"Vermont: Rutland City","1910-07-23",43.602515,-72.99201,204,1910
"NYBG-00366257","1220.033",10,954.237,0,1033.188,656.433,"Penn: Bucks: Nocksamixon","1910-09-18",40.525835,-75.157377,261,1910
"NYBG-00366263","1220.009",10,1224.233,0,496.378,455.221,"New Jersey: Burlington: Kinkora","1910-08-18",40.119009,-74.753412,230,1910
"MICH-V-14333762","1168.062",10,1638.417,0,1259.482,401.278,"Lambton Co., Ontario, Point Edward","1911-07-11",42.998996,-82.417879,192,1911
"919014754","614.05",5,0,0,1761.01,187.07,NA,NA,41.28,-70.1,204,1911
"919018591","614.05",5,0,0,2966.61,964.76,NA,NA,41.28,-70.1,204,1911
"919021622","616.05",5,0,220.801,537.4,0,NA,NA,42.24,-71.37,229,1911
"931051093","433",5,0,0,723.61,506.73,NA,NA,43.05,-82.04,192,1911
"CONN00198360","2344.014",10,2738.632,0,1846.293,1295.158,"","1911-08-22",42.783333,-71.083333,234,1911
"NYBG-00365749","1224.001",10,0,0,1526.298,0,"Mass: Berkshire: Laneborough","1911-08-12",42.536145,-73.232749,224,1911
"MICH-V-1433762","1166.007",10,1624.986,0,1172.19,524.395,"Ontario, Lambton Co., Point-Edward","1911-07-11",43.001374,-82.417312,192,1911
"919022673","616.08",5,1919.06,0,1051.76,0,NA,NA,44.61,-69.33,206,1912
"919024691","612.08",5,210.09,0,954.93,820.62,NA,NA,41.64,-70.93,222,1912
"CONN00003873","2360.014",10,712.045,0,952,219.672,"","1912-08-13",42.566667,-73.15,226,1912
"CCNL-06615","1412.89",10,2350.988,0,2326.219,956.41,"Conn: New London","1912-08-02",41.36498,-72.1458,215,1912
"NYBG-00365717","1228.337",10,0,0,968.283,840.122,"Mass: Nantucket: Nantucket Island","1912-07-10",41.283333,-70.166667,192,1912
"MICH-V-1433760","1168.007",10,2140.199,0,758.527,238.288,"Ithaca, Tompkins Co., New York, West Marsh, between city and Cayuga lake west of the Inlet","1913-07-25",42.455489,-76.513686,206,1913
"3009083","479.004",10,175.356,0,190.696,143.464,"Canton Massachusetts","1913-08-05",42.165634,-71.167331,217,1913
"919012242","610.03",5,1106.45,0,911.88,0,NA,NA,42.08,-71.4,237,1913
"919025461","614.7",5,0,0,686.9,212.91,NA,NA,42.84,-70.86,209,1913
"919026052","612.05",5,281.46,0,373.55,413.72,NA,NA,42.68,-70.84,236,1913
"NHA-726677","1604.005",10,0,0,529.859,0,"Mass: Berkshire","1913-08-31",42.10088,-73.24001,243,1913
"CCNL-06613","1420.005",10,755.424,0,641.287,501.283,"Rhode Island: Washington","1913-07-28",41.35984,-71.80749,209,1913
"NYBG-00366326","1220.039",10,1093.98,0,836.122,192.113,"New Jersey: Hunterdon: Stockton","1913-08-17",40.403933,-74.978646,229,1913
"919015984","614.72",5,0,0,1586.33,497.77,NA,NA,41.79,-71.14,181,1914
"919016685","613.39",5,1340.79,0,1243.83,379.28,NA,NA,42.58,-71.44,200,1914
"UVMVT084350","1224.026",10,980.877,0,1611.76,93.648,"Vermont: Clarendon: Otter Creek","1914-08-15",43.572398,-72.988815,227,1914
"NYBG-00365756","1220.323",10,649.999,0,553.64,311.293,"NY: Tompkins: West Marshes, Ithaca","1914-08-04",42.458531,-76.515884,216,1914
"NYBG-00365782","1220.009",10,0,0,518.443,1336.209,"NY: St Lawrence: Canton","1914-07-17",44.603805,-75.178915,198,1914
"1189104","1166.002",10,0,0,1090.294,506.538,"Rehoboth, Massachusetts","1914-06-30",41.847822,-71.243281,181,1914
"MICH-V-1433763","1166.015",10,412.241,0,479.753,423.539,"Lambton Co., Ontario, east of Point Edward","1915-08-09",42.99512,-82.393304,221,1915
"365742","1893.002",10,2870.587,0,456.572,1013.961,"Lambton County, Point Edward, Ontario","1915-08-09",42.995524,-82.406536,221,1915
"366260","1892",10,1845.447,0,1060.477,547.331,"Verplanck Point, New York","1915-09-04",41.257342,-73.958216,247,1915
