id,acceptedNameUsage,associatedMedia,associatedOccurrences,associatedReferences,associatedSequences,associatedTaxa,basisOfRecord,behavior,bibliographicCitation,catalogNumber,class,collectionCode,collectionID,continent,coordinateUncertaintyInMeters,country,countryCode,county,datasetID,datasetName,dateIdentified,decimalLatitude,decimalLongitude,disposition,dynamicProperties,establishmentMeans,eventDate,eventRemarks,eventTime,family,fieldNotes,footprintWKT,genus,geodeticDatum,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceRemarks,georeferenceSources,georeferenceVerificationStatus,habitat,higherClassification,higherGeography,identificationQualifier,identificationReferences,identificationRemarks,identifiedBy,individualCount,infraspecificEpithet,institutionCode,islandGroup,kingdom,language,license,lifeStage,locality,locationAccordingTo,locationRemarks,maximumElevationInMeters,minimumElevationInMeters,modified,municipality,nomenclaturalCode,occurrenceRemarks,order,otherCatalogNumbers,ownerInstitutionCode,phylum,preparations,previousIdentifications,recordedBy,recordNumber,references,reproductiveCondition,rightsHolder,samplingProtocol,scientificName,scientificNameAuthorship,sex,specificEpithet,stateProvince,subgenus,taxonRank,taxonRemarks,type,typeStatus,verbatimCoordinates,verbatimCoordinateSystem,verbatimDepth,verbatimElevation,verbatimEventDate,verbatimLatitude,verbatimLocality,verbatimLongitude,verbatimSRS,vernacularName,waterBody,year
20932814,,,,,http://www.boldsystems.org/index.php/Public_RecordView?processid=RRPLA118-15,,PreservedSpecimen,,,BIOUG24049-B11,Magnoliopsida,BIOUG,,,,Canada,,,,"University of Guelph, OAC Herbarium (BIOUG)",,43.383,-80.369,,,,8/16/2015,,,Lythraceae,,,Lythrum,,,,,,,,,Magnoliophyta;Magnoliopsida;Myrtales;Lythraceae;Lythrum,,,,,,,salicaria,"University of Guelph, OAC Herbarium",,,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,rare Charitable Research Reserve|Blair Flats Wetland,,,,,,,,,Myrtales,RRPLA118-15,,Magnoliophyta,,,Masha Kuzmina,,http://www.boldsystems.org/index.php/Public_RecordView?processid=RRPLA118-15,,University of Guelph,,Lythrum salicaria,,,,Ontario,,,,,,,,,,,,,,,,,
20932782,,,,,http://www.boldsystems.org/index.php/Public_RecordView?processid=RRPLA086-15,,PreservedSpecimen,,,BIOUG24048-H02,Magnoliopsida,BIOUG,,,,Canada,,,,"University of Guelph, OAC Herbarium (BIOUG)",,43.383,-80.369,,,,8/16/2015,,,Lythraceae,,,Lythrum,,,,,,,,,Magnoliophyta;Magnoliopsida;Myrtales;Lythraceae;Lythrum,,,,,,,salicaria,"University of Guelph, OAC Herbarium",,,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,rare Charitable Research Reserve|Blair Flats,,,,,,,,,Myrtales,RRPLA086-15,,Magnoliophyta,,,"Masha Kuzmina, Thomas Braukmann",,http://www.boldsystems.org/index.php/Public_RecordView?processid=RRPLA086-15,,University of Guelph,,Lythrum salicaria,,,,Ontario,,,,,,,,,,,,,,,,,
20932701,,,,,http://www.boldsystems.org/index.php/Public_RecordView?processid=RRPLA004-15,,PreservedSpecimen,,,BIOUG24048-A04,Magnoliopsida,BIOUG,,,,Canada,,,,"University of Guelph, OAC Herbarium (BIOUG)",,43.383,-80.369,,,,8/16/2015,,,Lythraceae,,,Lythrum,,,,,,,,,Magnoliophyta;Magnoliopsida;Myrtales;Lythraceae;Lythrum,,,,,,,salicaria,"University of Guelph, OAC Herbarium",,,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,rare Charitable Research Reserve|Blair Flats,,,,,,,,,Myrtales,RRPLA004-15,,Magnoliophyta,,,"Masha Kuzmina, Thomas Braukmann",,http://www.boldsystems.org/index.php/Public_RecordView?processid=RRPLA004-15,,University of Guelph,,Lythrum salicaria,,,,Ontario,,,,,,,,,,,,,,,,,
20897950,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00197109.jpg,,,,,PreservedSpecimen,,MT00197109,MT00197109,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),,,,,,,Aug-62,,,Lythraceae,,,Lythrum,,,,,,,,Lieux submergÃ©s au printemps,,,,,,"LÃ©onard, Roland",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,[MontrÃ©al] Ãle Sainte-HÃ©lÃ¨ne,,,,,2016-08-03,,ICBN,,,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"LÃ©onard, Roland",sn,,reproductive/flowering,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,,,,,,,,
20892250,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00186735.jpg,,,,,PreservedSpecimen,,MT00186735,MT00186735,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),2014,,,,,,1921-08-08,,,Lythraceae,,,Lythrum,,,,,,,,nil,,,,,,"Catling, Paul M.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,Environs d'Ottawa,,,,,2016-09-28,,ICBN,,,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Rolland-Germain, Fr.",272,,fruit forming,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,,,,,,,,
20892240,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00186711.jpg | http://media.canadensys.net/mt-specimens/large/MT00186711_2.jpg,,,,,PreservedSpecimen,,MT00186711,MT00186711,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,Les Maskoutains,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),2014,,,,,,1946-08-08,,,Lythraceae,,,Lythrum,,,,,,,,"Sur la berge d'une riviÃ¨re couverte d'algues, dans l'eau et prÃ¨s de l'eau",,,,,,"Catling, Paul M.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,"RiviÃ¨re Yamaska, Saint-Hyacinthe, Ã  40 m au nord vers Saint-BarnabÃ©",,,,,2016-09-28,Saint-Hyacinthe,ICBN,,,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Courtemanche, Albert",460808-5260,,reproductive/flowering,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,8 aoÃ»t 1946,,,,,,,
20892233,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00186704.jpg,,,,,PreservedSpecimen,,MT00186704,MT00186704,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,MontrÃ©al (hors MRC),http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),2014,,,,,,1997-07-23,,,Lythraceae,,,Lythrum,,,,,,,,Prairie humide,,,,,,"Catling, Paul M.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,"Lasalle, Parc des Rapides de Lachine",,,,,2016-11-11,MontrÃ©al,ICBN,,,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"St-Onge, VÃ©ronik",sn,,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,23 juillet 97,,,,,,,
20892232,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00186703.jpg,,,,,PreservedSpecimen,,MT00186703,MT00186703,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),2014,,,,,,1897/1899,,,Lythraceae,,,Lythrum,,,,,,,,nil,,,,,,"Catling, Paul M.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,QuÃ©bec [prov],,,,,2016-09-28,,ICBN,"[Ã‰douard-Zotique Massicotte (1867-1947) rÃ©coltait entre 1897 et 1899 (MontrÃ©al; Trois-RiviÃ¨res; Sainte-GeneviÃ¨ve-de-Batiscan, Les Chenaux, Mauricie)]",,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Massicotte, Ã‰douard-Zotique",sn,,reproductive/flowering,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,,,,,,,,
20892231,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00186702.jpg,,,,,PreservedSpecimen,,MT00186702,MT00186702,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,ThÃ©rese-De Blainville,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),2014,,,,,,1979-08-15,,,Lythraceae,,,Lythrum,,,,,,,,Bordure des lacs,,,,,,"Catling, Paul M.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,"Camp Bouchard, Blainville",,Ancienne base militaire ouverte en 1940 et fermÃ©e en 1969 oÃ¹ l'on fabriquait entre autres des munitions pour la DeuxiÃ¨me Guerre mondiale,,,2016-09-28,Blainville,ICBN,,,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,unknown,sn,,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,15 aoÃ»t 79,,,,,,,
20892230,Lythrum salicaria Linnaeus,http://media.canadensys.net/mt-specimens/large/MT00186701.jpg,,,,,PreservedSpecimen,,MT00186701,MT00186701,,MT,urn:lsid:biocol.org:col:14437,North America,,Canada,,Les Laurentides,http://dataset.canadensys.net/mt-specimens,Marie-Victorin Herbarium (MT),2014,,,,,,1972-07-05,,,Lythraceae,,,Lythrum,,,,,,,,FossÃ©,,,,,,"Catling, Paul M.",,,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Plantae,en|fr,http://creativecommons.org/publicdomain/zero/1.0/legalcode,,Autoroute du Nord,,"Autoroute 15, probablement dans la MRC des Laurentides, en route vers la Station de Biologie des Laurentides, UniversitÃ© de MontrÃ©al (Matawinie)",,,2016-09-28,,ICBN,,,,Marie-Victorin Herbarium (MT),Magnoliophyta,mounted,,"Contant, HÃ©lÃ¨ne",sn,,reproductive/flowering,UniversitÃ© de MontrÃ©al Biodiversity Centre,,Lythrum salicaria Linnaeus,Linnaeus,,salicaria,QuÃ©bec,,species,,PhysicalObject,,,,,,5-VII-72,,,,,,,
